Year,Month,Text,,,,,,,,,
2001,6,"call of the wild
vogue's take on survivor temptation island plus the frontier show and the real world of reality tv
at the white house, on the ranch laura bush by julia reed
look of the moment the romantic blouse
calvin klein on his greatest mentor
behind the scenes at the fall collections",,,,,,,,,
2000,6,"Fashion's
Summer 
Sparkle
DRESSING 
YOUR AGE  what works now                                  George
                                            Clooney
                                           The Perfect Catch
DESIGNERS
SPILL THEIR                               The vice President’s 
SECRETS                                             Private Side
                                   by Julia Reed        
Fall 2000             Real Clothes Rule the runway",,,,,,,,,
1999,6,"Nicole Kidman
Fearless and Fabulous

summer's rich mix
Brilliant Colors
Decorative Details
The Million Dollar Shoe and Legs to Go With It

BEAUTY & THE BEACH
The Sinless Suntan

Witness to War
Letters from Kosovo",,,,,,,,,
1998,6,"the simplest summer wardrobe 18 pieces you can't live without
the hotel that leonardo dicaprio calls home
sandra bullock cool, candid, and confident
vogue's wedding album every bride's fantasy
plus jason patric spectacular diamonds a stripper’s story rosie o'donnell",,,,,,,,,
1997,6,"Exclusive!
My 12 days in Africa By Hillary Rodham Clinton all about beauty 
WHO IS THE AMERICAN IDEAL?
Uma Thurman
TODAY'S MOST RAVISHING WOMAN
IN SEARCH OF THE PERFECT PLASTIC SURGEON 150 CROSS-COUNTRY BEAUTY SECRETS
PRETTY BABIES
Inside Jon Benet's World By Julia Reed",,,,,,,,,
,6,"the world's best beauty & fashion secrets
FROM MOSCOW TO MILAN

summer skin
BURN, BABY, BURN
Why Women Won't Quit Tanning
CULT CREAMS
Miracle Skin Treatments?
CELLULITE UPDATE

A SPA IS BORN
Marla at Mar-a-Lago
By Vicki Woods

JIM CARREY
Manic Impressive",,,,,,,,,
1995,6,"TOUGH CHIC
What's Good About Bad Girls

75 summer beauty secrets

THE EYES HAVE IT
Makeup's New Look

PERFECTING THE FAKE TAN

HOW YOUR HAIR REVEALS YOUR ROOTS
By Julia Reed

REVERSING SUN DAMAGE

fashion checklist
THE SEASON'S TOP 10
From the coolest dress to the sharpest suit",,,,,,,,,
1994,6,"150 SUMMER BEAUTY SCOOPS
Great skin AND HAIR TREATMENTS
CAN A SPA CHANGE YOUR LIFE?
THE ALLURE OF THE LEG
IMAN :CROSSING THE COSMETICS COLOR LINE
JULIA ROBERTS on Love and Trouble
Plus the Season's Best Fashion",,,,,,,,,
1993,6,"exclusive: jfk, jr., on living with a legacy
summer's great buys
201 easy pieces
fragrance breakthrough?
selling sex in a bottle
crime and punishment:report from death row by julia reed
plus emma thompson, drew barrymore and the coppolas at home",,,,,,,,,
1992,6,special summer fashion issue what’s new clothes with nine lives romantic white nights dressed-up swimsuits weekend’s easy glamour  shades of the future - the injectable tan bill clinton on the brink warren beatty in love johnny depp at the beach,,,,,,,,,
