Year,Month,Text,,,,,,,,,
2001,5,"splash 50 sexiest swimsuits under the sun
where's the boeuf? paris goes vegetarian
beach blonde how to fake a golden look
nicole kidman cancan, couture & a good cause
hedi slimane the man every woman wants
lucian freud's dangerous muse sex & excess in bohemian london",,,,,,,,,
2000,5,"BEACH CHIC
150 best
SWIMSUITS
SHORTS
SANDALS
& MORE

BLAME IT ON RIO
Bikinis and Brazilian Beauties

BODY & SOUL
Christy Turlington's New Life

THE NEXT OLYMPIANS
by Bruce Weber

THE DINING-OUT DIET

fashion visionary
Helmut Lang Spins His Web",,,,,,,,,
1999,5,"46 BEST BATHING SUITS

Name Dropping
The Next Wave of Status Accessories

SUMMER'S SEXIEST DRESSES

GETTING BURNED
The Melanoma Epidemic

Just Say No
Young Hollywood's Fashion Backlash

plus
PARIS'S BARGAIN BISTROS
LONDON'S HOTTEST ARTIST
THE YANKEES' DEREK JETER",,,,,,,,,
1998,5,"85 Best Bathing Suits for every Body

Bombshell Bikinis
One-Piece Knockouts
The New Surfer Chic
Elizabeth Hurley
Brains, Beauty, and Hugh, too

Summer Shape-Up
America's 28 Hottest Trainers
The 48-Hour Fitness Makeover

Sex & The Single Girl
Exclusive Excerpt From London's Hip Bestseller",,,,,,,,,
1997,5,"the best bathing suits the mini-skirt returns evening: how bare do you dare?
the royal yard sale princess diana cleans out her closet
summer's sexy body how hollywood stays thin facing a facelift diet-pill update
hasta la vista, arnold action heroines to the rescue",,,,,,,,,
1996,5,"fit for summer
bikinis are back
the 30 best
living fat free
liposuction up close & personal
cooking with olestra
after the affair by paul theroux
getting the body you want...
bound for glory
america's olympian women
david schwimmer
i want to be in movies
in the index
solving the bathing suit dilemma",,,,,,,,,
1995,5,"NICOLE BROWN SIMPSON
Marie Brenner on an American tragedy

IN THE SWIM
100 BEST BATHING SUITS

the body in fashion

FROM STAIRMASTER TO SCALPEL
IN PURSUIT OF PERFECTION

WORKING UP A SWEAT

LOVE AMONG THE FREE WEIGHTS

THIGHS TO DIE FOR

EVERYTHING TAKES SHAPE
THE ULTIMATE BODY DRESS",,,,,,,,,
1994,5,"strong and sexy Fashion's New Woman
The Sleek Suit Bold Accessories Brilliant Bikinis
Geena Davis
Hollywood's Brainy Bombshell
Counter Intelligence: Secrets of a Scent Seller
The Woman of Sarajevo:
Portraits in Courage",,,,,,,,,
1993,5,"Summer's Princess Best Diana: 
60 Pages of                         Leading
Great looks                    Royalty into
                                    Reality
 By Georgina Howell
 The Death Of Dieting 
                            Why Weight-Loss 
                        Programs can't work 
        Welcome to Hell - 
                         Report from Bosnia",,,,,,,,,
1993,4,"Special Issue
Fashion's New Deal
500 Choices from $5 to $500
Plus Great Buys in Beauty, Travel, Fitness
Food, Design, and More",,,,,,,,,
1992,4,claudia schiffer beauty’s latest million-dollar baby skirt chasing: solving the hemline dilemma sharon stone in not-so-basic black president mary robinson: ireland’s new heroine robert altman skewers hollywood the great buys of summer simple pieces that won’t break the bank,,,,,,,,,
