Year,Month,Text,,,,,,,,,
2001,9,"722 pages of fabulous fall fashion
morning star katie couric on today & tomorrow
linda evangelista's stunning return
the sex memoir paris can't put down
bridal chic vera wang's book of weddings
declarations of independents a portfolio of renegade designers by annie leibovitz",,,,,,,,,
2000,9,"fall's total look
688 pages of super style
buy of the moment 
the pretty little coat
just cut it!
The bob is back
12 fashion makeovers
who made that dress?
designers & their tribes by annie leibovitz
plus chris rock
hollywood's wild card
bjork
A style maverick",,,,,,,,,
1999,9,"Luxury, Color, Parties & Romance
700+ pages of Glorious Fall Fashion

Gwyneth
Shopping with the World's Chicest Star

Daughter Dearest
Surviving the Lolita Years

Camelot Lost
John F. Kennedy Jr. and Carolyn Bessette Kennedy",,,,,,,,,
1998,9,"You've gotta have it!
The very best of fall 678 pages
tipper gore
the life of the party
renee zellweger goes for the glamour
how hollywood conquered fashion",,,,,,,,,
1997,9,"Fall Fashion Blockbuster
730 Pages

The Thrill Is Back!

SUMMITS & SABLE
Madeleine Albright's Surprising Life

GIANNI VERSACE REMEMBERED

DAUGHTERS AT RISK
A Mother's Battle with Anorexia

SEX AND THE YOUNGER MAN",,,,,,,,,
1996,9,"sept 
the best & the biggest 
700 pages of fall fashion",,,,,,,,,
1995,9,"finally!
THE FALL FASHION SPECIAL

all dressed up

ARE YOU A FASHION PHOBIC?

THE NEW AGE OF DONNA KARAN
By Katherine Betts

PARIS BULLETIN
BACKSTAGE AT THE COUTURE

THE BIG TEASE
HAIR ON THE RISE

SEAN PENN, GROWN-UP

THE REPUBLICAN CONTENDERS
NIXON'S GANG OFF AND RUNNING
By Julia Reed

AMERICA'S COOLEST HOTEL",,,,,,,,,
1994,9,"At Last! The Fall Fashion Issue

The look is Grown-Up & Glamorous

Nobody's perfect: Five Supermodels Face up to their Flaws

Getting fit without really trying

Putting the shape back into fashion

Are we a Prozac Nation?",,,,,,,,,
1993,9,It Is Here! The Fall Fashion Special the best romantic new looks | Hot new from the Paris Couture | Hemline Hysteria: Relax. It's Over | The Unknown Robert De Niro Linda Evangelista in Love Is America Giving Up on Dressing Up?,,,,,,,,,
1992,9,"this is it! the fall fashion special all the key looks geena davis: the goddess next door Tim robbins: hot and bothered updike on updike matisse and his women kelly klein poolside campaign confidential: undercover with the candidates sex, sitcoms, and rock ‘n’ roll: what’s shaping fashion now? the real truth: diary of a face-lift",,,,,,,,,
