Year,Month,Text,,,,,,,,,
2001,7,"fall's rebel elegance key looks to electrify your image
catherine rules the return of the screen goddess
the billion-dollar mascara war
thigh hopes supermodels' cellulite secrets
would you wear your house? Catherine Zeta-Jones",,,,,,,,,
2000,7,"Fall scoop
looks that matter
12 designs to watch (and wear)
stella Mccartney's cheeky chic
the talented ms. cate blanchett
broadway's big babe on being large & loving clothes
The Elian effect a cuban exile's family feud
lipo, lasers & lifts has beauty become totally artificial?",,,,,,,,,
1999,7,"The return of the sexy model
weekend getaway fashion
all the right accessories
from garbo to gwyneth the changing face of fame
obsessed with his ex one woman's confession
the fall fashion news",,,,,,,,,
1998,7,"Fall fashion report the 90s what works what doesn't what's next
claire danes ivy league star
what a pill! the ups and downs of viagra
mission impossible how to get into the hippest salons
the best bread in france
runway scoop backstage at the collections
london, milan, paris & new york",,,,,,,,,
1997,7,"FASHION'S NEW LENGTH, SHAPE, COLOR.
FALL REPORT : NEWYORK. LONDON. PARIS.MILAN
THE MAKING OF A DESIGNER
Desperately Seeking the Next Yves, Karl & Calvin...
STOP THE PRESSES! k.d. Lang Wears Dresses
VOGUE'S SHORT LIST
THE 25 BEST UP-AND-COMING CUTTERS AND COLORISTS
SUMMER BODY MAKEOVER
The 10 Week Turnaround 
       vs
The 25 Minute Miracle",,,,,,,,,
1996,7,"THE NEW ESTABLISHMENT

8 designers who define the decade

ABORTION & THE GOP
Will Ralph Reed's Prayers Be Answered?

what's cool
Wakeboarding, Wyoming, White jeans, and 275 More Summertime Scoops

AT EASE!
Fashion's New Uniform

looking ahead
Fall Runway Report from Paris, Milan, and New York",,,,,,,,,
1995,7,"fall preview the four forces shaping fashion now
young and younger plastic surgery before 30
three women, one pregnancy a saga of modern motherhood
crazy for hugh the irresistible mr. grant
dye hard secrets of a hair colorist
short cuts guide to the best styles
summer solved instant gratification clothes to wear now",,,,,,,,,
1994,7,"What's sexy now?
His take, Her take

Fall Preview
Putting the fun back in fashion by Katherine Betts

Summer Escapes
Wet Workouts
Mindless Movies
Beach Books

Face-lifts for the Fainthearted

Lady Dye: Hooked on Hair Color",,,,,,,,,
1993,7,"the season's hit: the white shirt and 50 ways to wear it
the international fall runway report
beauty and the beach
summer's quick fixes for hair, sun care, making up and shaping up
plus the best bikinis, short shorts, and great denim
the health-care debate: why prescription drugs cost so much
tom hanks: big again
life among the mall rats",,,,,,,,,
1992,7,"first look at fall slim, sexy, simple abortion and the attack on privacy fast fashion: last- minute summer buys fast women: america’s top olympians fast beauty: long hair in 30 minutes dietrich remembered tim burton’s batty vision",,,,,,,,,
