Year,Month,Text,,,,,,,,,
2001,12,"changing times
looking ahead
fashion's new romance, new simplicity
looking back
best and worst looks of 2001
salma hayek's dream role
the 20th century's most shocking painter
holiday buy this t-shirt for america
doctors without borders
heroism on the west bank
an american childhood in afghanistan
the surprising woman behind rudy",,,,,,,,,
2000,12,"naughty but nice
35 pages of dazzling holiday style
doctors of desire
unlocking women's sexual secrets
The forgotten plague 
who will stop aids in south africa?
plus
ralph lauren's chic tropical retreat
the ultimate christmas goose
france's most luxurious spa
vogue's guide to on-line shopping
nicole's daring musical debut
exclusive look at moulin rouge",,,,,,,,,
1999,12,"Dancing into the Millennium
SEXY SPARKLING PARTY CLOTHES

Model of the Year
Gisele

VOGUE VH1
FASHION MUSIC AWARDS

THE WINNERS
Tom Ford
Jennifer Lopez
Lenny Kravitz
No Doubt
Alexander McQueen
Garbage
Heather Graham
Rupert Everett",,,,,,,,,
1998,12,"The extraordinary hillary clinton
vogue's 12 days of christmas
the ultimate fashion fantasy",,,,,,,,,
1997,12,"75 Dresses that Dazzle!
The Best Parties Ever",,,,,,,,,
1996,12,"Holiday dazzle

35 pages of evening splendor

Winona Ryder

Goodbye to being good

The ultimate beauty wish list

A passion for fashion

The return of the serious shopper",,,,,,,,,
1995,12,"Holiday hits romantic evening dresses
julia ormond will she reinvent hepburn's magic?
the right resort brights
mizrahi goes cheap and cheerful
perfect lips the quick fix
couture under attack can haute culture survive?
125 best gifts this christmas from the sexiest slip to the ultimate diamond bracelet",,,,,,,,,
1994,12,"fashion's hollywood glamour
claudia's roman holiday
cindy's corset encounters
nadja's feathered affair
mariah carey
revamps the '40s
holiday hell
by paul theroux, tina howe, jamaica kincaid, & others
inconceivable conception
creating life after death
220 absolutely fabulous gifts
exclusive versace's miami dream palace",,,,,,,,,
1993,12,"White Hot Holidays
The New Way To Look at Night
Plus great getaway dressing
Hillary's moment
The first lady in action by Julia Reed
Sharon Stone on Sex, Stardom, & staying at the top by Charles Gandee
Wish Fulfillment glorious gifts, secret Palaces, and food with French Twist",,,,,,,,,
1992,12,"soft, simple, and sexy: the best holiday looks karl lagerfeld goes to the ball by rosamond bernier remembering chaplin mark morris’s naughty nutcracker are you ready for grunge? plus: gifts, gadgets, and gems return to somalia: a personal diary by iman ",,,,,,,,,
